id	filename	md5	size	state
0036ebe5-9faa-4d96-b25c-1fde371d11ad	0036ebe5-9faa-4d96-b25c-1fde371d11ad/nationwidechildrens.org_clinical.TCGA-DA-A95Z.xml	ce4f129712c2b204f50df39a1f01cee1	33768	validated
0174e074-b358-41fe-96fd-772cbc549eb5	0174e074-b358-41fe-96fd-772cbc549eb5/nationwidechildrens.org_clinical.TCGA-FS-A1ZF.xml	e08ca96d0950ceb75e04981f7061954c	25688	validated
019adc61-a99c-4fa3-b62a-d638c6716d94	019adc61-a99c-4fa3-b62a-d638c6716d94/nationwidechildrens.org_omf.TCGA-EE-A3JD.xml	d17836d442a16c30cc06d8f646d07132	11009	validated
01e3225e-1227-419b-b09c-24d6345516c5	01e3225e-1227-419b-b09c-24d6345516c5/nationwidechildrens.org_clinical.TCGA-D3-A2J8.xml	b27c354297ca29e692f1a583f90d15f4	54075	validated
021aa201-dfe5-4213-9045-8aba36a9d977	021aa201-dfe5-4213-9045-8aba36a9d977/nationwidechildrens.org_clinical.TCGA-ER-A2NC.xml	8b04c7bebf926a6be2bb581c5314c06a	32090	validated
027179d6-d4b9-4845-a6c8-c46458f89cdd	027179d6-d4b9-4845-a6c8-c46458f89cdd/nationwidechildrens.org_clinical.TCGA-RP-A693.xml	a8bf62d54105bc14a9b713a8daf58cb2	33456	validated
0282d980-c0ad-4662-b8ba-f55fb4af8fde	0282d980-c0ad-4662-b8ba-f55fb4af8fde/nationwidechildrens.org_clinical_nte_skcm.txt	c6a2f8457cd5158b8827c8cef5bc0768	158320	validated
02b30770-041c-427f-a90e-9386476d1e6c	02b30770-041c-427f-a90e-9386476d1e6c/nationwidechildrens.org_clinical.TCGA-EB-A82C.xml	9b0167ff1b7ceb19733abd0102d4207b	29537	validated
02dab9c8-5d36-45c8-914e-9ccf6af579ec	02dab9c8-5d36-45c8-914e-9ccf6af579ec/nationwidechildrens.org_clinical.TCGA-W3-AA1R.xml	4332114316367fa91dc8422c9b278679	65921	validated
02f6993d-c775-412d-9bd6-1a874955ed87	02f6993d-c775-412d-9bd6-1a874955ed87/nationwidechildrens.org_clinical.TCGA-EE-A2GU.xml	775ba4214e6fc61b610fd1b9222f44d6	39716	validated
0368c9de-897b-4f2b-b37a-a43c053211d4	0368c9de-897b-4f2b-b37a-a43c053211d4/nationwidechildrens.org_clinical.TCGA-BF-A1PZ.xml	bad8803bd0e5929091fa8a3b2d69872b	33910	validated
054b0560-03d7-4cdb-a8cb-85e9ab6a62e7	054b0560-03d7-4cdb-a8cb-85e9ab6a62e7/nationwidechildrens.org_clinical.TCGA-FS-A1ZQ.xml	a42e7bd0c64f79b59b1d97e3560a0ea2	25590	validated
